category,sku,sex,item name,about,details,sizes,"price, $",colour,image_name,,,,
outwear,LV23001,men,Monogram Camo Fleece Jacket,The high-tech fleece jacket features an original Monogram Camo pattern.,"55% polyester, 45% wool", s|m|l|xl,10,green,Monogram Camo Fleece Jacket 1.jpg , Monogram Camo Fleece Jacket 2.jpg , Monogram Camo Fleece Jacket 3.jpg , Monogram Camo Fleece Jacket 4.jpg ,
outwear,LV23002,men,Monogram Camo Jacquard Fleece Jacket,The stylish jacket embodies a new interpretation of the legendary symbol of the House.,"87% polyester, 13% wool
A color scheme
Loose fit", s|m|l|xl,11,multicolor,Monogram Camo Jacquard Fleece Jacket 1.jpg , Monogram Camo Jacquard Fleece Jacket 2.jpg , Monogram Camo Jacquard Fleece Jacket 3.jpg , Monogram Camo Jacquard Fleece Jacket 4.jpg ,
outwear,LV23003,men,Snow down jacket with Vuitton pattern,A high-tech down jacket with a water-repellent effect is a stylish and practical piece of clothing.,100% Polyester Black color Loose fit, s|m|l|xl,12,black,,,,,
outwear,LV23004,men,Padded hooded denim jacket,A hooded denim jacket with a bold graphic design in a trekking style. ,100% cotton light brown color Standard Fit, s|m|l|xl,13,brown,Padded hooded denim jacket 1.jpg , Padded hooded denim jacket 2.jpg , Padded hooded denim jacket 3.jpg , Padded hooded denim jacket 4.jpg ,
outwear,LV23005,men,Monogram Gradient Mesh Jacket,"
The graphic design of this classic-cut jacket is a tribute to the iconic Monogram pattern with a contemporary twist.",100% Polyester Dark blue color Classic fit, s|m|l|xl,14,blue,Monogram Gradient Mesh Jacket 1.jpg , Monogram Gradient Mesh Jacket 2.jpg , Monogram Gradient Mesh Jacket 3.jpg , Monogram Gradient Mesh Jacket 4.jpg ,
outwear,LV23006,men,LV Spray Denim Jacket,The denim jacket features a contrasting combination of bright green LV Spray graphics with a Tie & Dye effect and a white Monogram pattern.,100% cotton A color scheme Loose fit, s|m|l|xl,15,white,,,,,
outwear,LV23007,men,Destroyed utility denim jacket,The unique design of the utilitarian denim jacket combines tradition of impeccable craftsmanship with a contemporary deconstructivist aesthetic.,100% cotton Indigo Standard Fit, s|m|l|xl,16,blue,Destroyed utility denim jacket 1.jpg , Destroyed utility denim jacket 2.jpg , Destroyed utility denim jacket 3.jpg ,,
outwear,LV23008,men,Velvet windbreaker with innovative trim,The unique design of the utilitarian denim jacket combines tradition of impeccable craftsmanship with a contemporary deconstructivist aesthetic.,100% cotton Dark green color Loose fit, s|m|l|xl,17,green,,,,,
outwear,LV23009,men,LV Graffiti zipped bomber jacket,Monogram jacquard adds an elegant touch to the bomber jacket's striking design.,100% cotton Combination of black and gray Standard Fit, s|m|l|xl,18,black,LV Graffiti zipped bomber jacket 1.jpg , LV Graffiti zipped bomber jacket 2.jpg , LV Graffiti zipped bomber jacket 3.jpg , LV Graffiti zipped bomber jacket 4.jpg ,
outwear,LV23010,men,Monogram embossed wool and leather jacket,A classic varsity jacket made from sustainable wool.,"50% calfskin, 50% wool Black color Standard Fit", s|m|l|xl,19,black,Monogram embossed wool and leather jacket 1.jpg , Monogram embossed wool and leather jacket 2.jpg , Monogram embossed wool and leather jacket 3.jpg , Monogram embossed wool and leather jacket 4.jpg ,
outwear,LV23011,men,Varsity jacket in leather and wool with appliqués,The trendy Varsity jacket is crafted from LWG-certified wool and grained calfskin.,100% calfskin Certification LWG Milky white color Loose fit, s|m|l|xl,20,white,Varsity jacket in leather and wool with appliqués 1.jpg , Varsity jacket in leather and wool with appliqués 2.jpg , Varsity jacket in leather and wool with appliqués 3.jpg , Varsity jacket in leather and wool with appliqués 4.jpg ,
outwear,LV23012,men,Varsity jacket in leather and wool with appliqués,The new Varsity Wool Jacket features LWG-certified grained calfskin contrast sleeves.,100% calfskin Certification LWG Purple Loose fit, s|m|l|xl,21,purple,Varsity jacket in leather and wool with appliquéss 1.jpg , Varsity jacket in leather and wool with appliquéss 2.jpg , Varsity jacket in leather and wool with appliquéss 3.jpg , Varsity jacket in leather and wool with appliquéss 4.jpg ,
outwear,LV23013,men,Bomber jacket in leather and textile,The striking bomber jacket features a combination of yellow leather and black cotton.,"50% calfskin, 50% cotton yellow-orange color Loose fit", s|m|l|xl,22,black yellow,Bomber jacket in leather and textile 1.jpg , Bomber jacket in leather and textile 2.jpg , Bomber jacket in leather and textile 3.jpg ,,
